NOME_STRUTTURA,ASST,INDIRIZZO,RATING_GLOBALE,N_VALUTAZIONI,N_AREE,AREE_SPECIALISTICHE,RATING_DIMENSIONI_JSON,RATING_PER_AREA_JSON,TIPO,CLASSIFICAZIONE,COMUNE,PROVINCIA,LATITUDINE,LONGITUDINE
OSPEDALE CARLO ONDOLI DI ANGERA,ASST SETTE LAGHI,"VIA BORDINI, 9 - ANGERA (VA)",5.0,3.0,14.0,"['ANALISI DI LABORATORIO', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'FISIOPATOLOGIA DELLA RIPRODUZIONE - PMA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEFROLOGIA', 'NEONATOLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'PEDIATRIA', 'PRONTO SOCCORSO', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 5.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 5.0, ""Qualità dei pasti"": 5.0, ""Gestione delle visite dei parenti"": 5.0}","{""Ortopedia e Traumatologia"": 5.0}",OSPEDALE,SPOKE,ANGERA,VA,45.7755978,8.579008
OSPEDALE DEI BAMBINI DI BRESCIA,ASST SPEDALI CIVILI,"VIA DEL MEDOLO, 2 - BRESCIA (BS)",5.0,2.0,15.0,"['ANALISI DI LABORATORIO', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CHIRURGIA MAXILLO FACCIALE', 'CHIRURGIA PEDIATRICA', 'IMMUNOLOGIA', 'NEONATOLOGIA', 'NEUROPSICHIATRIA INFANTILE', 'ONCOEMATOLOGIA PEDIATRICA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO PEDIATRICO', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 5.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 5.0, ""Qualità dei pasti"": 5.0, ""Gestione delle visite dei parenti"": 5.0}","{""Neuropsichiatria Infantile"": 5.0}",OSPEDALE,SPOKE,BRESCIA,BS,45.5482864,10.22973
OSPEDALE FILIPPO DEL PONTE DI VARESE,ASST SETTE LAGHI,"VIA FILIPPO DEL PONTE, 19 - VARESE (VA)",5.0,2.0,14.0,"['CARDIOLOGIA', 'CHIRURGIA GENERALE', 'FISIOPATOLOGIA DELLA RIPRODUZIONE - PMA', 'GINECOLOGIA', 'NEONATOLOGIA', 'NEUROPSICHIATRIA INFANTILE', 'ODONTOIATRIA E STOMATOLOGIA', 'OSTETRICIA', 'PEDIATRIA', 'PRONTO SOCCORSO PEDIATRICO', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'SERVIZI TERRITORIALI', 'TERAPIA INTENSIVA NEONATALE', 'UROLOGIA PEDIATRICA']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 5.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 5.0, ""Qualità dei pasti"": 5.0, ""Gestione delle visite dei parenti"": 5.0}","{""Ginecologia"": 5.0, ""Neonatologia"": 5.0, ""Neuropsichiatria Infantile"": 5.0, ""Pediatria"": 5.0, ""Pronto soccorso pediatrico"": 5.0, ""Terapia Intensiva Neonatale"": 5.0}",OSPEDALE,SPOKE,VARESE,VA,45.816558,8.8339512
IRCCS MAUGERI LUMEZZANE,,"VIA GIUSEPPE MAZZINI, 129 - LUMEZZANE (BS)",5.0,1.0,27.0,"['ALLERGOLOGIA', 'ANALISI DI LABORATORIO', 'ANGIOLOGIA', 'CARDIOCHIRURGIA', 'CHECK UP', 'CHIRURGIA PLASTICA E MEDICINA ESTETICA', 'CHIRURGIA VASCOLARE', 'DERMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GASTROENTEROLOGIA', 'GERIATRIA', 'GINECOLOGIA', 'NEFROLOGIA', 'NEUROPSICHIATRIA INFANTILE', 'OCULISTICA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PNEUMOLOGIA', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RADIOTERAPIA', 'REUMATOLOGIA', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'RIABILITAZIONE NEUROLOGICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 5.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 5.0, ""Qualità dei pasti"": 5.0, ""Gestione delle visite dei parenti"": 5.0}",{},OSPEDALE,SPOKE,LUMEZZANE,BS,45.6512517,10.2583022
OSPEDALE DI SEREGNO,ASST BRIANZA,"VIA VERDI, 2 - SEREGNO (MB)",5.0,1.0,7.0,"['DIETOLOGIA E NUTRIZIONE CLINICA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'RIABILITAZIONE NEUROLOGICA', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 5.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 5.0}",{},OSPEDALE,SPOKE,SEREGNO,MB,45.6536061,9.2055584
PRESIDIO OSPEDALIERO DI GARDONE VAL TROMPIA,ASST SPEDALI CIVILI,"VIA PAPA GIOVANNI XXIII, 4 - GARDONE VAL TROMPIA (BS)",5.0,1.0,17.0,"['CARDIOLOGIA', 'CHIRURGIA GENERALE', 'DERMATOLOGIA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEUROLOGIA', 'OCULISTICA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PRONTO SOCCORSO', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'RIABILITAZIONE ORTOPEDICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 5.0}","{""Cardiologia"": 5.0}",OSPEDALE,SPOKE,GARDONE VAL TROMPIA,BS,45.6764749,10.1834946
OSPEDALE POLICLINICO SAN MATTEO DI PAVIA,,"VIALE CAMILLO GOLGI, 19 - PAVIA (PV)",4.9,14.0,59.0,"['ANATOMIA PATOLOGICA', 'ANGIOLOGIA', 'CARDIOCHIRURGIA', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CHIRURGIA MAXILLO FACCIALE', 'CHIRURGIA PEDIATRICA', 'CHIRURGIA PLASTICA E MEDICINA ESTETICA', 'CHIRURGIA TORACICA', 'CHIRURGIA VASCOLARE', 'CURE PALLIATIVE - HOSPICE', 'DERMATOLOGIA', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'ELETTROFISIOLOGIA E EMODINAMICA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'EMODIALISI', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'FARMACOLOGIA CLINICA', 'FISIOPATOLOGIA DELLA RIPRODUZIONE - PMA', 'GASTROENTEROLOGIA', 'GINECOLOGIA', 'MALATTIE INFETTIVE E TROPICALI', 'MEDICINA DEI TRAPIANTI', 'MEDICINA INTERNA - GENERALE', 'MEDICINA NUCLEARE', 'NEFROLOGIA', 'NEONATOLOGIA', 'NEUROCHIRURGIA', 'NEUROLOGIA', ""NEUROLOGIA D'URGENZA E STROKE UNIT"", 'OCULISTICA', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOEMATOLOGIA', 'ONCOEMATOLOGIA PEDIATRICA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PENSIONANTI', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO GINECOLOGICO', 'PRONTO SOCCORSO OFTALMICO', 'PRONTO SOCCORSO PEDIATRICO', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RADIOTERAPIA', 'RADIOTERAPIA ONCOLOGICA', 'REUMATOLOGIA', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'RIABILITAZIONE NEUROLOGICA', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA', 'SERVIZI TERRITORIALI', 'TERAPIA INTENSIVA', 'TERAPIA INTENSIVA NEONATALE', 'TOSSICOLOGIA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 4.9, ""Pulizia"": 4.8, ""Rispetto della privacy"": 4.9, ""Qualità dell'ospitalità e della struttura"": 5.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 4.9, ""Chiarezza delle informazioni mediche ricevute"": 4.9, ""Chiarezza delle informazioni amministrative e organizzative"": 4.9, ""Qualità dei pasti"": 4.5, ""Gestione delle visite dei parenti"": 4.8}","{""Cardiologia"": 5.0, ""Chirurgia Pediatrica"": 5.0, ""Chirurgia Toracica"": 5.0, ""Ematologia e Immunoematologia"": 5.0, ""Farmacologia Clinica"": 5.0, ""Malattie Infettive e Tropicali"": 5.0, ""Neurologia d'urgenza e Stroke Unit"": 1.0, ""Odontoiatria e Stomatologia"": 5.0, ""Oncoematologia"": 5.0, ""Oncoematologia Pediatrica"": 5.0, ""Ortopedia e Traumatologia"": 5.0, ""Ostetricia"": 5.0, ""Otorinolaringoiatria"": 5.0, ""Pediatria"": 5.0, ""Pneumologia"": 5.0, ""Pronto soccorso"": 5.0, ""Pronto soccorso pediatrico"": 5.0, ""Radiologia e Diagnostica per Immagini"": 5.0, ""Radioterapia Oncologica"": 5.0, ""Terapia Intensiva"": 5.0}",OSPEDALE,HUB,PAVIA,PV,45.1961345,9.1489552
OSPEDALE TREVIGLIO - CARAVAGGIO,ASST BERGAMO OVEST,"PIAZZALE OSPEDALE, 1 - TREVIGLIO (BG)",4.9,9.0,34.0,"['ANATOMIA PATOLOGICA', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CURE PALLIATIVE - HOSPICE', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'ELETTROFISIOLOGIA E EMODINAMICA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'MEDICINA NUCLEARE', 'NEFROLOGIA', 'NEONATOLOGIA', 'NEUROLOGIA', ""NEUROLOGIA D'URGENZA E STROKE UNIT"", 'OCULISTICA', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RADIOTERAPIA', 'REUMATOLOGIA', 'RIABILITAZIONE NEUROLOGICA', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 5.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 4.9, ""Chiarezza delle informazioni amministrative e organizzative"": 4.9, ""Qualità dei pasti"": 4.4, ""Gestione delle visite dei parenti"": 5.0}","{""Cardiologia"": 5.0, ""Cure Palliative - Hospice"": 5.0, ""Ortopedia e Traumatologia"": 5.0, ""Otorinolaringoiatria"": 5.0, ""Pediatria"": 5.0, ""Senologia"": 5.0}",OSPEDALE,SPOKE,TREVIGLIO,BG,45.509974,9.6113788
OSPEDALE DI SONDALO,ASST VALTELLINA E ALTO LARIO,"VIA ZUBIANI, 33 - SONDALO (SO)",4.9,5.0,33.0,"['ALLERGOLOGIA', 'ANATOMIA PATOLOGICA', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CHIRURGIA TORACICA', 'CHIRURGIA VASCOLARE', 'CURE PALLIATIVE - HOSPICE', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GASTROENTEROLOGIA', 'GINECOLOGIA', 'MEDICINA DEL LAVORO', 'MEDICINA INTERNA - GENERALE', 'MEDICINA SPORTIVA', 'NEUROCHIRURGIA', 'NEUROLOGIA', ""NEUROLOGIA D'URGENZA E STROKE UNIT"", 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'RIABILITAZIONE NEUROLOGICA', 'RIABILITAZIONE ORTOPEDICA', 'SERVIZI TERRITORIALI', 'TERAPIA INTENSIVA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 4.8, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 4.8, ""Qualità dei pasti"": 4.8, ""Gestione delle visite dei parenti"": 5.0}","{""Chirurgia Toracica"": 5.0, ""Oncologia"": 5.0, ""Pneumologia"": 5.0, ""Pronto soccorso"": 5.0, ""Riabilitazione Neurologica"": 5.0}",OSPEDALE,SPOKE,SONDALO,SO,46.3350811,10.3235468
OSPEDALE OGLIO PO DI CASALMAGGIORE,ASST CREMONA,"VIA STAFFOLO, 51 - CASALMAGGIORE (CR)",4.9,5.0,21.0,"['CARDIOLOGIA', 'CHIRURGIA GENERALE', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GASTROENTEROLOGIA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEUROLOGIA', 'NEUROPSICHIATRIA INFANTILE', 'OCULISTICA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'PEDIATRIA', 'PRONTO SOCCORSO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'REUMATOLOGIA', 'SENOLOGIA', 'SERVIZI TERRITORIALI', 'TERAPIA INTENSIVA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 5.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 4.2, ""Qualità dei pasti"": 5.0, ""Gestione delle visite dei parenti"": 5.0}","{""Cardiologia"": 5.0}",OSPEDALE,SPOKE,CASALMAGGIORE,CR,44.9745281,10.4599816
OSPEDALE CIVILE LA MEMORIA DI GAVARDO,ASST GARDA,"VIA ANDREA GOSA, 74 - GAVARDO (BS)",4.9,4.0,26.0,"['ALLERGOLOGIA', 'ANATOMIA PATOLOGICA', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CURE PALLIATIVE - HOSPICE', 'DERMATOLOGIA', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GASTROENTEROLOGIA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEFROLOGIA', 'NEONATOLOGIA', 'OCULISTICA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'SERVIZI TERRITORIALI', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 4.7, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 4.8, ""Qualità dei pasti"": 4.3, ""Gestione delle visite dei parenti"": 5.0}","{""Chirurgia Generale"": 5.0, ""Cure Palliative - Hospice"": 5.0, ""Ortopedia e Traumatologia"": 5.0}",OSPEDALE,SPOKE,GAVARDO,BS,45.5882852,10.4385455
OSPEDALE MACEDONIO MELLONI DI MILANO,ASST FATEBENEFRATELLI SACCO,"VIA MACEDONIO MELLONI, 52 - MILANO (MI)",4.9,3.0,14.0,"['ENDOCRINOLOGIA E DIABETOLOGIA', 'FISIOPATOLOGIA DELLA RIPRODUZIONE - PMA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEONATOLOGIA', 'ONCOLOGIA', 'OSTETRICIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO GINECOLOGICO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'SENOLOGIA', 'TERAPIA INTENSIVA NEONATALE']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 5.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 5.0, ""Qualità dei pasti"": 3.5, ""Gestione delle visite dei parenti"": 4.5}","{""Radiologia e Diagnostica per Immagini"": 5.0}",OSPEDALE,SPOKE,MILANO,MI,45.4665671,9.2190836
OSPEDALE CARLO MIRA DI CASORATE PRIMO,ASST PAVIA,"VIA DALL'ORTO, 99 - CASORATE PRIMO (PV)",4.9,2.0,15.0,"['ANALISI DI LABORATORIO', 'CARDIOLOGIA', 'DERMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEUROLOGIA', 'OCULISTICA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'PNEUMOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RIABILITAZIONE CARDIO-RESPIRATORIA', 'SERVIZI TERRITORIALI', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 4.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 5.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 5.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 5.0, ""Qualità dei pasti"": 5.0, ""Gestione delle visite dei parenti"": 5.0}","{""Cardiologia"": 5.0, ""Pneumologia"": 5.0}",OSPEDALE,SPOKE,CASORATE PRIMO,PV,45.3096335,9.0169085
OSPEDALE CIVILE DESTRA SECCHIA DI PIEVE DI CORIANO,ASST MANTOVA,"VIA BUGATTE, 1 - BORGO MANTOVANO (MN)",4.9,2.0,25.0,"['CARDIOLOGIA', 'CHIRURGIA GENERALE', 'CURE PALLIATIVE - HOSPICE', 'DERMATOLOGIA', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GASTROENTEROLOGIA', 'GERIATRIA', 'GINECOLOGIA', 'MEDICINA DEL LAVORO', 'MEDICINA INTERNA - GENERALE', 'NEUROLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'PEDIATRIA', 'PNEUMOLOGIA', 'PRONTO SOCCORSO', 'PRONTO SOCCORSO PEDIATRICO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'REUMATOLOGIA', 'RIABILITAZIONE NEUROLOGICA', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 5.0, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 4.5, ""Disponibilità e gentilezza del personale medico"": 4.5, ""Disponibilità e gentilezza del personale non medico"": 4.5, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 5.0, ""Qualità dei pasti"": 5.0, ""Gestione delle visite dei parenti"": 5.0}",{},OSPEDALE,SPOKE,BORGO MANTOVANO,MN,45.0360408,11.1172086
OSPEDALE BOLOGNINI DI SERIATE,ASST BERGAMO EST,"VIA PADERNO, 21 - SERIATE (BG)",4.8,45.0,30.0,"['ANATOMIA PATOLOGICA', 'CARDIOLOGIA', 'CHIRURGIA GENERALE', 'DERMATOLOGIA', 'DIETOLOGIA E NUTRIZIONE CLINICA', 'ELETTROFISIOLOGIA E EMODINAMICA', 'EMATOLOGIA E IMMUNOEMATOLOGIA', 'ENDOCRINOLOGIA E DIABETOLOGIA', 'GASTROENTEROLOGIA', 'GINECOLOGIA', 'MEDICINA INTERNA - GENERALE', 'NEFROLOGIA', 'NEONATOLOGIA', 'NEUROLOGIA', 'OCULISTICA', 'ODONTOIATRIA E STOMATOLOGIA', 'ONCOLOGIA', 'ORTOPEDIA E TRAUMATOLOGIA', 'OSTETRICIA', 'OTORINOLARINGOIATRIA', 'PEDIATRIA', 'PRONTO SOCCORSO', 'PSICHIATRIA E PSICOLOGIA', 'RADIOLOGIA E DIAGNOSTICA PER IMMAGINI', 'RIABILITAZIONE ORTOPEDICA', 'SENOLOGIA', 'TERAPIA INTENSIVA', 'TERAPIA INTENSIVA NEONATALE', 'UNITÀ CORONARICA - UNITÀ INTENSIVA CARDIOLOGICA', 'UROLOGIA E ANDROLOGIA']","{""Da consigliare a parenti e amici"": 4.8, ""Pulizia"": 4.8, ""Rispetto della privacy"": 4.9, ""Qualità dell'ospitalità e della struttura"": 4.8, ""Disponibilità e gentilezza del personale medico"": 4.8, ""Disponibilità e gentilezza del personale non medico"": 4.8, ""Chiarezza delle informazioni mediche ricevute"": 4.7, ""Chiarezza delle informazioni amministrative e organizzative"": 4.7, ""Qualità dei pasti"": 4.6, ""Gestione delle visite dei parenti"": 4.8}","{""Chirurgia Generale"": 5.0, ""Dermatologia"": 1.0, ""Endocrinologia e Diabetologia"": 5.0, ""Ginecologia"": 5.0, ""Oncologia"": 5.0, ""Ortopedia e Traumatologia"": 5.0, ""Radiologia e Diagnostica per Immagini"": 5.0, ""Senologia"": 5.0, ""Unità Coronarica - Unità Intensiva Cardiologica"": 5.0}",OSPEDALE,SPOKE,SERIATE,BG,45.6832356,9.7181097
